id_curso,nome,descricao,valor,duracao
103, Brand Collaborative Web-Readiness, Neque ad accusamus unde ducimus iusto. Maxime sit numquam quae esse recusandae ea., 238.00, 35
104, Cultivate 24/7 Architectures, Deserunt officiis dicta corporis. Ad deleniti nam ea. Cum ab vitae omnis nostrum voluptatum., 485.00, 45
105, Strategize Open-Source Markets, Quod aliquid delectus ea. Consequatur perferendis dicta rerum modi dolores., 366.00, 54
106, Deliver Distributed Applications, Eaque ipsam modi praesentium assumenda amet. Dolor porro numquam voluptate., 157.00, 77
107, Repurpose Cutting-Edge Models, Quidem rem laudantium nemo consectetur. Provident dolorem placeat corrupti., 6.00, 139
108, Incubate Wireless Portals, Laborum cum cum odio qui error ullam., 144.00, 156
109, Morph Cross-Platform Roi, Possimus vel eaque nesciunt. Distinctio nisi voluptatibus. Autem modi ea inventore neque facilis., 210.00, 120
110, E-Enable Dynamic Channels, Tempore eius provident nihil. Accusamus dolorum exercitationem distinctio eveniet sequi ipsa odio., 400.00, 102
111, Unleash Virtual E-Services, Tempore ab dignissimos cupiditate doloremque distinctio. Ullam laborum illum totam., 341.00, 91
112, Envisioneer Seamless Paradigms, Quod sit corrupti. Libero maxime saepe eum sapiente ducimus vero quibusdam., 115.00, 107
113, Empower Real-Time Solutions, Odio voluptas pariatur assumenda. Voluptas officiis quis minus animi dicta., 95.00, 197
114, Brand Proactive Applications, Beatae atque quae. Dolorum accusamus aperiam numquam blanditiis., 436.00, 199
115, Evolve Customized Users, Laudantium distinctio facilis quo tenetur vel rem. Commodi explicabo recusandae quo quaerat ab vel., 109.00, 84
116, Deliver Leading-Edge Deliverables, Eum nam suscipit laborum voluptatem. Unde repellat sunt. Nisi vel soluta nostrum earum explicabo., 230.00, 116
117, Orchestrate Compelling Methodologies, Vitae totam tempora reiciendis ipsa. Iusto illo earum quis., 410.00, 42
118, Empower Dynamic Functionalities, Iste vitae quos quaerat veritatis culpa. Odit magnam dolore., 210.00, 56
119, Redefine Real-Time Markets, Modi reiciendis eum porro autem. Occaecati voluptate dolore., 359.00, 103
120, Transition Compelling Users, Minima nisi aliquid eligendi dolores totam quas. Quod harum dolore possimus harum numquam totam., 279.00, 18
121, Deliver Seamless Experiences, Tempora saepe repellat. Optio omnis sunt nesciunt molestiae. Est cupiditate distinctio unde vitae., 249.00, 47
122, Aggregate Virtual Users, Adipisci sed amet dolorum molestias minus quasi.\nMinus ab quasi ab iure. Quia ab rerum nemo., 476.00, 148
123, Optimize Back-End Infrastructures, Commodi occaecati in quasi alias unde natus. Perferendis deleniti quasi recusandae officiis quos., 133.00, 42
124, Envisioneer Bricks-And-Clicks Applications, Voluptate laborum illum molestiae delectus eius rem ipsum. Illum soluta atque assumenda., 189.00, 116
125, Deploy Enterprise Eyeballs, Saepe quaerat aspernatur eaque dolorum natus. Aspernatur tempora neque minima., 388.00, 183
126, Visualize Efficient Markets, Esse est delectus facere. Nobis culpa dicta assumenda tenetur voluptatum beatae., 71.00, 173
127, Synergize Holistic Infrastructures, Odio doloribus iste. Asperiores doloribus ipsum a consequuntur. Vitae dicta nostrum libero., 404.00, 20
128, Syndicate Vertical Portals, Sed consectetur similique nobis nam facere dolore. Nobis a quas molestias quia harum ut., 180.00, 7
129, Seize Open-Source Channels, Dolorem vel a esse earum nam. Cumque dignissimos provident. Sunt in officia consectetur sit quis., 9.00, 37
130, Extend Dot-Com Partnerships, Minus possimus voluptatem sed ipsa accusantium cupiditate. Dolores natus tenetur soluta excepturi., 345.00, 127
131, E-Enable Strategic Users, Pariatur quae magni explicabo nostrum deserunt. Sequi maiores eum molestiae repudiandae soluta., 350.00, 52
132, Revolutionize Seamless Eyeballs, Voluptatibus sit voluptates repellat quo vitae. Ullam temporibus alias blanditiis., 247.00, 89
133, Cultivate Holistic Action-Items, Recusandae eius quia., 120.00, 93
134, Scale Killer Eyeballs, Harum repellat aspernatur reiciendis molestias sunt reiciendis., 302.00, 103
135, Synthesize Turn-Key Initiatives, Nobis facere doloribus assumenda. Voluptatum natus architecto unde., 322.00, 80
136, Exploit Turn-Key Infrastructures, Eaque dolor dolorem optio in velit corrupti. Vero deserunt ullam esse veritatis impedit quam., 40.00, 184
137, Harness Revolutionary E-Markets, Quas aut quisquam aperiam accusamus iure explicabo. Assumenda ad optio quos sit., 147.00, 25
138, Mesh Vertical Deliverables, Dolores accusamus vel adipisci praesentium neque. Explicabo ex ea., 49.00, 103
139, Enable Wireless Systems, Vero nostrum dolorum excepturi. Voluptas tempore eos laudantium repellendus incidunt., 228.00, 149
140, Enable Clicks-And-Mortar E-Markets, Praesentium optio est quo error quae expedita. Doloribus alias modi quibusdam maiores., 423.00, 197
141, Matrix Vertical Platforms, Quod sapiente quas explicabo officia tenetur consequatur vitae. Harum debitis nesciunt officiis., 419.00, 64
142, Syndicate Frictionless Synergies, Qui asperiores possimus totam ab ut. Debitis velit aspernatur occaecati repudiandae omnis., 381.00, 137
143, Optimize Integrated Architectures, Labore maxime architecto eius similique. Quia recusandae nam rerum. Ut veniam aliquam atque., 209.00, 177
144, Facilitate Integrated Markets, Reprehenderit iusto ipsa ea veritatis modi doloribus cupiditate. Quis hic labore optio alias dolor., 190.00, 88
145, Whiteboard Leading-Edge Web Services, Enim harum ea sint. Repellat vero deleniti veniam optio., 363.00, 119
146, Seize One-To-One Applications, Deserunt amet natus neque ipsam quo occaecati. Quia in ratione provident impedit facilis., 167.00, 35
147, Synergize Visionary Convergence, Consequuntur labore nesciunt ipsa. Dignissimos quod atque nobis fugiat iste voluptas., 45.00, 192
148, Re-Contextualize Best-Of-Breed Users, Adipisci neque odio distinctio. Consequuntur reiciendis sapiente numquam voluptatibus ipsa., 474.00, 146
149, E-Enable Plug-And-Play Vortals, Deleniti ipsa quam eum animi tempore cumque cumque. Voluptatum doloribus ad minima qui voluptatem., 439.00, 185
150, Productize Out-Of-The-Box Synergies, Perferendis amet totam minima fuga officia. Odit sequi officiis fugit., 81.00, 171
151, Transform Global Schemas, Cumque incidunt ullam officia. Molestiae sint quisquam voluptatibus., 483.00, 45
152, Syndicate Global Infrastructures, Harum dolorum tempore provident distinctio at. Quod non necessitatibus laudantium., 178.00, 141
153, Re-Contextualize Web-Enabled Web-Readiness, Soluta sint ullam odit ipsam repudiandae. Quasi eaque sequi perferendis rerum., 190.00, 192
154, Reinvent Viral Systems, Quas debitis officiis iste id nisi illo. Facere corrupti provident nesciunt voluptate modi., 214.00, 54
155, Facilitate Customized E-Tailers, Beatae laborum magnam quibusdam perferendis commodi est. Suscipit sed dicta vero., 459.00, 175
156, Revolutionize Killer Supply-Chains, Vitae vitae nulla a adipisci et quasi. Amet error enim placeat quos nulla sit., 437.00, 123
157, Architect E-Business E-Tailers, Voluptatum reprehenderit fuga excepturi quaerat impedit magni., 402.00, 40
158, Productize Front-End Channels, Suscipit nam maiores accusamus eos voluptatibus fugiat blanditiis. Nostrum tempora atque., 225.00, 39
159, Incentivize Magnetic Paradigms, Debitis similique magni consectetur assumenda pariatur. Quo corrupti tempore quas iusto laboriosam., 280.00, 197
160, Facilitate B2C E-Services, Dolor reiciendis hic harum. Quis aspernatur minima quia labore architecto., 296.00, 148
161, Integrate Open-Source Applications, A alias aspernatur quo occaecati. Assumenda pariatur dolor laborum quos., 84.00, 102
162, Iterate Enterprise Web-Readiness, Reiciendis dolor sit voluptas nisi. In doloremque facere aut aspernatur., 165.00, 92
163, Extend Innovative Partnerships, Est aliquid facilis libero. Nihil inventore quisquam vitae voluptas., 137.00, 103
164, Strategize Enterprise Vortals, Dolores libero quidem aspernatur officiis. Itaque beatae nesciunt consectetur quaerat aliquid., 485.00, 166
165, Implement Real-Time Niches, Iure et ratione similique quam ab. Placeat sequi nemo labore recusandae sunt deleniti., 56.00, 162
166, Exploit Best-Of-Breed Web Services, Reiciendis nam aperiam inventore. Velit itaque eaque quae modi odio nulla., 249.00, 53
167, Transition Global Vortals, Commodi ipsam excepturi pariatur. Deleniti perferendis cum beatae nemo., 99.00, 9
168, Cultivate Back-End Methodologies, Dolor laborum animi nostrum. Quisquam repudiandae expedita., 116.00, 171
169, Redefine Efficient Bandwidth, Qui explicabo exercitationem necessitatibus optio. Inventore enim molestiae quam sit tenetur., 187.00, 151
170, Iterate B2C Communities, Quaerat tempora iste sit. Impedit iusto vitae quae quia. Nisi accusantium praesentium adipisci., 81.00, 97
171, Disintermediate Collaborative Infrastructures, Explicabo mollitia incidunt. Officia non placeat soluta at., 310.00, 114
172, Brand Next-Generation Synergies, Reiciendis deserunt accusantium repudiandae quasi labore facere. Illum optio dolorem., 193.00, 97
173, Orchestrate Strategic Supply-Chains, Vero excepturi consequatur nesciunt quae. Aperiam sit est ipsa numquam animi a., 497.00, 192
174, Exploit Killer Channels, Aut ea officiis cum. Ipsum eligendi labore., 273.00, 176
175, Embrace Mission-Critical Methodologies, Aperiam porro sit beatae aliquid animi. Omnis dicta ex nihil tempora ab. Officia ea atque ipsa., 260.00, 16
176, Syndicate Compelling Content, Voluptatem repellendus nobis maxime atque earum fuga. Consequuntur sunt velit facilis et., 337.00, 83
177, Re-Contextualize End-To-End Content, Eaque dolore molestiae error. Dicta aliquam totam sed molestias ut. Rem vitae beatae voluptatum., 497.00, 151
178, Evolve Intuitive Partnerships, Quisquam doloremque dolor libero doloremque eos labore. Doloremque voluptatibus quod molestiae eos., 279.00, 126
179, Transition Sticky Web-Readiness, Ipsam ex atque eaque. Odio corrupti voluptatibus quod temporibus quidem., 291.00, 81
180, Productize Extensible Networks, Perspiciatis deleniti tempora qui itaque. Tempora in deleniti., 108.00, 61
181, Expedite Viral Roi, Incidunt animi quia officiis tempore. Impedit cum ullam dignissimos explicabo necessitatibus., 59.00, 80
182, Envisioneer Frictionless Interfaces, Perferendis inventore dolores a cumque vero. Sequi temporibus officiis dolores., 255.00, 114
183, Orchestrate User-Centric Schemas, Tenetur nostrum eligendi odit corporis iure tempore. Eius eum libero accusamus., 128.00, 21
184, Transition Seamless Platforms, Debitis repellendus repellendus debitis. Quae cum necessitatibus animi laboriosam., 35.00, 58
185, Engage Interactive Roi, Maxime rerum molestiae molestiae. Hic vel placeat in consequatur eum iusto., 114.00, 82
186, Revolutionize Proactive Platforms, Autem in occaecati doloribus similique corporis. Reprehenderit unde placeat hic numquam., 291.00, 171
187, Reinvent Open-Source E-Tailers, Earum saepe ex veritatis atque culpa. Neque delectus repudiandae illo., 321.00, 164
188, Incubate B2B Experiences, Nihil quis sunt nostrum. Nostrum necessitatibus corporis., 417.00, 109
189, Optimize Vertical Communities, Veniam neque mollitia., 315.00, 7
190, Incubate Bricks-And-Clicks Bandwidth, Sunt est unde ea. Veritatis doloremque exercitationem., 63.00, 125
191, Orchestrate 24/7 Interfaces, Optio nobis soluta nesciunt commodi vitae autem., 417.00, 49
192, Benchmark B2B Models, Modi repellat laborum officiis. Alias neque eveniet suscipit laborum., 186.00, 4
193, Monetize Seamless Networks, Cumque odio atque temporibus incidunt. Voluptatibus asperiores quam repellendus., 427.00, 11
194, Target Wireless Communities, Sequi eveniet a., 321.00, 80
195, Disintermediate Enterprise Relationships, Dolorum hic illum illo. Laboriosam eligendi quam sequi cupiditate incidunt exercitationem., 495.00, 171
196, E-Enable Value-Added Methodologies, Magni doloremque autem placeat officiis. Veniam sunt magni rem dignissimos illo., 424.00, 44
197, Maximize Virtual Web-Readiness, Commodi culpa quos officiis sint fugit. Placeat maxime aliquid nesciunt animi vel. Magnam cum nam., 314.00, 89
198, Extend Cutting-Edge Roi, Repellat necessitatibus recusandae sequi., 365.00, 52
199, Incentivize Killer Communities, Tempore tenetur fugiat eveniet labore sed. Soluta magni rem distinctio., 176.00, 113
200, Incentivize Transparent Action-Items, Perspiciatis fugit id. Libero sed praesentium nostrum delectus unde. Vel minus aut ratione., 289.00, 48
201, Envisioneer World-Class Users, Reprehenderit unde culpa id. Saepe omnis vero impedit sequi natus., 309.00, 79
202, Whiteboard Cross-Platform Initiatives, Rem ad nobis eveniet eos numquam expedita. Quo ducimus consequatur alias quia eaque temporibus a., 15.00, 55
203, Benchmark Compelling Convergence, Atque totam alias labore. Eum blanditiis consequuntur expedita earum amet., 424.00, 21
204, Expedite Best-Of-Breed Communities, Quis corporis in iusto reiciendis. Est magnam omnis. Quos mollitia porro ut delectus natus labore., 187.00, 74
205, Repurpose World-Class Paradigms, Harum quisquam quae itaque. Minus delectus occaecati dolore. Et et ipsam libero nostrum beatae., 379.00, 122
206, Syndicate Innovative Architectures, Qui asperiores animi eveniet quidem. Autem nulla numquam omnis odit quam sit. Eaque unde omnis., 115.00, 49
207, Unleash Efficient Communities, Nobis voluptates sequi ea delectus soluta. Atque odit id. Commodi quam porro nemo ratione., 209.00, 50
208, Productize Extensible Supply-Chains, Doloremque ducimus id perspiciatis. Sunt iure tenetur sunt., 84.00, 156
209, Brand Transparent Platforms, Inventore nostrum earum reprehenderit perferendis. Natus aut ad eaque sunt molestiae., 88.00, 40
210, Iterate Viral Networks, Dolores officiis earum repellat recusandae corporis ad., 334.00, 128
211, Strategize Extensible Paradigms, Ea ullam unde in quae. Ipsam sed error quidem ratione. Doloremque accusamus modi odio illo., 204.00, 105
212, Aggregate Granular Portals, Dolor explicabo nisi. Ad numquam at alias nulla. Recusandae odit quo., 484.00, 29
213, Extend Best-Of-Breed Synergies, Repellendus explicabo dolor numquam aperiam. Exercitationem accusantium deserunt fuga in., 450.00, 127
214, Leverage Frictionless Methodologies, Hic eveniet animi recusandae. Modi qui harum delectus rerum expedita vitae., 399.00, 26
215, Redefine Integrated Metrics, Sed necessitatibus consequatur asperiores sapiente. Sed reiciendis dicta est., 313.00, 85
216, Deliver Best-Of-Breed Web-Readiness, Accusamus assumenda earum culpa velit cupiditate quae., 395.00, 14
217, Enable Vertical Bandwidth, Corporis in adipisci porro., 181.00, 113
218, Grow Ubiquitous Roi, At facilis fugit neque alias impedit. Exercitationem corrupti beatae veritatis., 127.00, 131
219, Morph Real-Time Bandwidth, Tempora modi blanditiis fugiat at. Ullam architecto soluta deserunt rerum eligendi., 54.00, 152
220, Whiteboard Vertical Content, Eum quos vitae accusantium amet hic. Minus dignissimos tempora., 377.00, 63
221, Embrace Wireless Mindshare, Aliquam labore vel nemo saepe mollitia error quae. Similique earum ipsam sapiente., 152.00, 82
222, Extend Extensible Methodologies, Officia nihil impedit pariatur pariatur. Quo eum exercitationem saepe itaque est., 139.00, 150
223, Utilize Dot-Com Web Services, Doloribus quod praesentium cupiditate nobis necessitatibus deleniti. Alias nostrum qui., 383.00, 86
224, Repurpose 24/7 Portals, Veritatis soluta culpa architecto ad. Nihil autem magnam sit similique est incidunt., 491.00, 160
225, Engineer Distributed Metrics, Architecto impedit sed quas eaque explicabo nihil., 480.00, 122
226, Visualize Intuitive Niches, Nobis officiis esse. Quaerat ad velit., 290.00, 200
227, Unleash Efficient Portals, Atque aliquam sunt voluptates. Corrupti assumenda reprehenderit beatae omnis., 445.00, 152
228, Facilitate Rich Mindshare, Ducimus quis explicabo quasi minus. Saepe ducimus dolorem nam quibusdam sint deserunt., 403.00, 53
229, Cultivate Integrated Platforms, Rem eum rem rerum. Sit laboriosam odio alias. Corporis dolorum aliquam autem., 121.00, 21
230, Re-Intermediate User-Centric Networks, Eligendi ipsum possimus assumenda blanditiis facilis vero. Enim nostrum deserunt eos doloribus., 115.00, 91
231, Incentivize Cutting-Edge E-Business, Culpa eos rerum quod ipsam mollitia cumque. Doloremque architecto accusamus nulla atque tenetur., 293.00, 17
232, Generate Compelling Communities, Harum occaecati molestiae placeat voluptas quos odit., 108.00, 84
233, Leverage End-To-End Roi, Nobis asperiores architecto voluptatum., 491.00, 73
234, Deploy Bleeding-Edge Partnerships, Quasi doloribus recusandae occaecati quae porro labore., 68.00, 16
